busstop_id,lat,lng
357,-3.783868,-38.521465
358,-3.783132,-38.523449
359,-3.78344,-38.524401
360,-3.786125,-38.520501
361,-3.786002,-38.51703
362,-3.785948,-38.517264
363,-3.782688,-38.516632
364,-3.781911,-38.516038
365,-3.786497,-38.518427
366,-3.786628,-38.518222
367,-3.790704,-38.517019
368,-3.790596,-38.517513
369,-3.792479,-38.517385
370,-3.782047,-38.498215
371,-3.782059,-38.497907
372,-3.78253,-38.496354
373,-3.782521,-38.496638
374,-3.784899,-38.496672
375,-3.784556,-38.496822
376,-3.785108,-38.496904
377,-3.785644,-38.495645
378,-3.785568,-38.495476
379,-3.787553,-38.502668
380,-3.788234,-38.499996
381,-3.789507,-38.499911
382,-3.789594,-38.49996
383,-3.788738,-38.499116
384,-3.788482,-38.497999
385,-3.788402,-38.497893
386,-3.786526,-38.497413
387,-3.786917,-38.497447
388,-3.786875,-38.493612
389,-3.786787,-38.490751
390,-3.78671,-38.490827
392,-3.787145,-38.487899
393,-3.787054,-38.487961
394,-3.787328,-38.486519
395,-3.787273,-38.48631
396,-3.788584,-38.469553
397,-3.788136,-38.464551
399,-3.788238,-38.465633
403,-3.788557,-38.459218
404,-3.787762,-38.45948
405,-3.79264,-38.609918
406,-3.7948,-38.610618
407,-3.793125,-38.605012
408,-3.797742,-38.601388
409,-3.798943,-38.60183
410,-3.797861,-38.603186
411,-3.799355,-38.603514
412,-3.798175,-38.601433
413,-3.795596,-38.59756
414,-3.795188,-38.599052
415,-3.794631,-38.600509
416,-3.792203,-38.599872
417,-3.792343,-38.599831
418,-3.7911,-38.599404
421,-3.792115,-38.596272
423,-3.79115,-38.594137
424,-3.793195,-38.590697
425,-3.793146,-38.591058
426,-3.794199,-38.591703
427,-3.793444,-38.592292
429,-3.800094,-38.597806
430,-3.799553,-38.59943
431,-3.795928,-38.593777
432,-3.796193,-38.593539
433,-3.797549,-38.595351
434,-3.798509,-38.595886
435,-3.799141,-38.596499
436,-3.796187,-38.595764
442,-3.79308,-38.586835
443,-3.791363,-38.587554
